date,link,text,also_available_in
29 Nov 2023,https://www.dpsa.gov.za/documents/speeches/speech_29_11_2023.pdf,Minister Kiviet's UNESCO opening ceremony address on transformation and accountability,[]
28 Nov 2023,https://www.dpsa.gov.za/documents/speeches/speech_28_11_2023.pdf,Address by deputy minister Dr Chana Pilane-Majake on the occasion of the 6th annual Bertha Gxowa foundation memorial lecture,[]
22 Nov 2023,https://www.dpsa.gov.za/documents/speeches/speech_22_11_2023.pdf,"Deputy minister stakeholder engagement Emalahleni local municipality, Nkangala District, Mpumalanga Province",[]
12 Oct 2023,https://www.dpsa.gov.za/documents/speeches/speech_12_10_2023.pdf,Minister N. Kiviet keynote adress on public service reform towards professionalisation,"[{'isiNdebele': 'https://www.dpsa.gov.za/documents/speeches/speech_12_10_2023 IsiNdebele.pdf', 'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_12_10_2023 IsiZulu.pdf'}]"
25 Sep 2023,https://www.dpsa.gov.za/documents/speeches/speech_25_09_2023.pdf,Minister N. Kiviet address at South African association of public administration and management 22nd annual conference,"[{'isiNdebele': 'https://www.dpsa.gov.za/documents/speeches/speech_25_09_2023_IsiNdebele.pdf', 'Tshivenda': 'https://www.dpsa.gov.za/documents/speeches/speech_25_09_2023_TshiVenda.pdf'}]"
13 Sep 2023,https://www.dpsa.gov.za/documents/speeches/speech_13_09_2023.pdf,Speech by Deputy Minister Dr Chana Pilane-Majake 13 September 2023 at the annual ethics officers forum,"[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_13_09_2023 IsiZulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_13_09_2023 Setswana.pdf'}]"
01 Sep 2023,https://www.dpsa.gov.za/documents/speeches/speech_01_09_2023.pdf,The launch of the public service month,"[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_01_09_2023_IsiZulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_01_09_2023_Setswana.pdf'}]"
28 Aug 2023,https://www.dpsa.gov.za/documents/speeches/speech_28_August_2023.pdf,"Deputy minister speaking notes, 2023 Public service women leadership retreat","[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_28_08_2023_IsiZulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_28_08_2023_Setswana.pdf'}]"
19 Aug 2023,https://www.dpsa.gov.za/documents/speeches/speech_19_08_2023.pdf,Minister N. Kiviet speech at the BRICS seminar on governance and BRICS forum on people – to- people exchanges,"[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_19_08_2023_IsiZulu .pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_19_08_2023_Setswana.pdf'}]"
12 Aug 2023,https://www.dpsa.gov.za/documents/speeches/speech_12_08_2023.pdf,"G20 anti-corruption ministers meeting, Kolkata, India by deputy minister for public service and administration, dr Chana Pilane-Majake","[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_12_August_2023_IsiZulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_21_08_2023_Setswana.pdf'}]"
10 Aug 2023,https://www.dpsa.gov.za/documents/speeches/speech_10_August_2023.pdf,"Remarks by the Hon. Ms. Noxolo Kiviet, MP, Minister for the Public Service and Administration at the Middelburg, Eastern Cape Province Community Outreach","[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_10_August_2023_IsiZulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_10_08_2023_Setswana.pdf'}]"
23 Jul 2023,"https://www.dpsa.gov.za/documents/speeches/Outreach%20Visit%20on%20Integrated%20Service%20Delivery%20in%20the%20Gamtoots%20Valley,%20EC.pdf",Minister Kiviet’s outreach visit to focus on integrated service delivery in the Gamtoots valley of the Eastern Cape Province,[]
19 Jul 2023,https://www.dpsa.gov.za/documents/speeches/19%20July%202023.pdf,"Closing address by Dr Chana Pilane-Majake, MP, Deputy minister for the Public Service and Administration at the BRICS conference on governance and public administration reform, University of Pretoria","[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_19_July_2023_IsiZulu .pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_19_july_2023_Setswana.pdf'}]"
17 Jul 2023,"https://www.dpsa.gov.za/documents/speeches/DR%20CHANA%20PILANE-MAJAKE,%2017%20JULY%202023.pdf","Keynote address by Dr Chana Pilane-Majake, MP, Deputy minister for the public service and administration at the BRICS conference on governance and public administration reform, University of Pretoria","[{'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_19_07_2023_Setswana.pdf', 'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_19_07_2023_isizulu.pdf'}]"
20 Jun 2023,https://www.dpsa.gov.za/documents/speeches/Remarks%20by%20Minister%20for%20Public%20Service%20%20and%20Administration%20Ms.%20Noxolo%20Kiviet%20MP%20Africa%20Public%20Service%20Day%20Ministerial%20Youth%20Outreach%20Dialogue%2020%20June%202023.pdf,"Remarks by: Hon. Ms. Noxolo Kiviet, MP Minister for the Public Service and Administration At the AFRICA PUBLIC SERVICE DAY MINISTERIAL YOUTH OUTREACH DIALOGUE Held at the University of Johannesburg (UJ)",[]
19 Jun 2023,https://www.dpsa.gov.za/documents/speeches/19%20June%202023.pdf,"Address by the Deputy Minister for Public Service and Administration, Dr Chana Pilane-Majake (MP), at the launch of Africa public service day",[]
23 May 2023,https://www.dpsa.gov.za/documents/speeches/DMs%20Speech%20NCOP%20Budget%20Vote%202023.pdf,"Speech delivered by the honourable Deputy minister for the public service and administration, Dr Chana Pilane-Majake, on the occasion of the 2023/24 budget vote",[]
23 May 2023,https://www.dpsa.gov.za/documents/speeches/MPSA%20Budget%20Vote%20Speech%20to%20the%20NCOP%2023%20May%202023.pdf,"Speech delivered by the honourable Minister for the public service and administration, Ms Noxolo Kiviet MP, on the occasion of the 2023/24 budget vote",[]
16 May 2023,https://www.dpsa.gov.za/documents/speeches/Budget%20Vote%202023%20Deputy%20Minister%20Public%20Service%20and%20Administration%20Dr%20Chana%20Pilane-Majake%20MP%2016%20May%202023.pdf,"DPSA Budget Vote 2023 Deputy Minister, Dr Chana Pilane-Majake, MP",[]
16 May 2023,https://www.dpsa.gov.za/documents/speeches/Budget%20Vote%202023%20Minister%20for%20Public%20Service%20and%20Administration%20Ms%20Noxolo%20Kiviet%20MP%2016%20May%202023.pdf,"DPSA Budget Vote 2023 Minister for Public Service and Administration, Ms Noxolo Kiviet, MP",[]
23 Feb 2023,https://www.dpsa.gov.za/documents/speeches/Keynote%20Address%20Public%20Service%20Compliance%20and%20HR%20Convention%2023%2002%202023.pdf,"Keynote Address by Mr TW Nxesi MP, at the Public Service Compliance and HR Convention",[]
23 Feb 2023,https://www.dpsa.gov.za/documents/speeches/Speech%20OSC%20%20Colloqium%2022%20February%202023.pdf,"Deputy minister, Dr Chana Pilane-Majake, speech at the OSC colloquium",[]
24 Nov 2022,https://www.dpsa.gov.za/documents/speeches/Key%20Note%20Address%20UKZN%2024%20Nov%202022.pdf,"Key note address ,by Ms Yoliswa Makhasi, to the Association of Southern African Schools and Departments of Public Administration and Management (ASSADPAM) Conference",[]
28 Oct 2022,https://www.dpsa.gov.za/documents/speeches/Launch%20of%20the%20PSETA-TUT%20Future%20of%20Work%20in%20the%20Public%20Sector%20Institute%2028%20October%202022.pdf,Launch of the PSETA-TUT future of work in the public sector institute,[]
22 Sep 2022,https://www.dpsa.gov.za/documents/speeches/Remarks%20by%20the%20Acting%20MPSA%20for%20NGC%20Strategic%20Planning%20Session%20-%2022%20September%202022.pdf,"Remarks by honourable Mr TW Nxesi, acting minister for the public service and administration, and APRM national focal point of the Republic of South Africa at the national governing council strategic planning session",[]
04 Aug 2022,https://www.dpsa.gov.za/documents/Keynote%20Address%20-%20Hon%20Nxesi%20-%20Reception%20by%20APRM%20Continental%20Secretariat%20-%2004%20August%202022.pdf,"Keynote by the Hon. TW Nxesi, acting minister for the public service and administration and APRM national focal point in South Africa, Javett art centre, University of Pretoria",[]
14 Jul 2022,https://www.dpsa.gov.za/documents/speeches/Speech%20BRICS%20DM%2015%2007%202022.pdf,"Keynote address by Dr. Makgathatso Charlotte Chana Pilane-Majake, Honourable deputy minister for public service administration Republic of South Africa on the occasion of the Brics anti-corruption ministerial meeting",[]
01 Jul 2022,https://www.dpsa.gov.za/documents/speeches/Speech%20by%20Acting%20Minister%20Nxesi%201%2007%202022.pdf,"Launch of the Future of Work Ambassadors, TW Nxesi MP, Acting Minister for the Public Service and Administration, The Innovation Hub Pretoria",[]
23 Jun 2022,https://www.dpsa.gov.za/documents/speeches/Speech%20on%20Africa%20Public%20SD_23%20June%20TZANEEN.pdf,"Address by the Deputy Minister for the Public Service and Administration, Dr Chana Pilane-Majake, on Africa public service day",[]
20 Jun 2022,https://www.dpsa.gov.za/documents/speeches/Speech%20Luanch%20Africa%20Public%20Service%20Day%2020%20June%202022_MONDAY.pdf,"Address by the Deputy Minister for the Public Service and Administration, Dr Chana Pilane-Majake, at the launch of Africa public service day",[]
07 Jun 2022,https://www.dpsa.gov.za/documents/speeches/DM%20Speech%20Budget%20Vote%202022-NCOP.pdf,"Speech by the deputy minister for public service and administration, Dr Chana Pilane-Majake MP, on the occasion of the 2022/23 budget vote",[]
07 Jun 2022,https://www.dpsa.gov.za/documents/speeches/Budget%20Vote%202022%20NCOP.pdf,"Speech by the acting minister for public service and administration, TW Nxesi MP, on the occasion of the 2022/23 budget vote",[]
31 May 2022,https://www.dpsa.gov.za/documents/speeches/Remarks%20by%20the%20Director%20General%20to%20the%20OECD%20Anti-Bribery%20Convention%2027%20May%202022.pdf,"Remarks by the Director General of the Department of Public Service and administration, Ms Yoliswa Makhasi on the occasion of the OECD foreign bribery detection workshop",[]
12 May 2022,https://www.dpsa.gov.za/documents/speeches/DPSA%20Budget%20Vote%202022.pdf,"Speech by the acting Minister for Public Service and Administration, TW Nxesi MP, on the occasion of the 2022/23 budget vote",[]
12 May 2022,https://www.dpsa.gov.za/documents/speeches/Deputy%20Minister%20Budget%20Vote%202022.pdf,"Speech by the Deputy Minister Public Service and Administration, Dr Chana Pilane-Majake MP, on the occasion of the 2022/23 budget vote",[]
28 Mar 2022,https://www.dpsa.gov.za/documents/speeches/Key%20note%20pscbc.pdf,"Keynote address by honourable Ayanda Dlodlo, MP, Minister for the public service and administration, to the public service summit on collective bargaining",[]
24 Mar 2022,https://www.dpsa.gov.za/documents/speeches/keynote%20mpsa%20NBPEA2022.pdf,"Keynote address by the Minister for the public service and administration, honourable Ayanda Dlodlo, MP, at the 7th national batho pele excellence awards",[]
17 Mar 2022,https://www.dpsa.gov.za/documents/speeches/Speech%20Lifesyle%20Audit%20Welcoming%20Remarks.pdf,"Welcome and opening address by deputy minister for the public service and administration, Dr Chana Pilane-Majake",[]
17 Mar 2022,https://www.dpsa.gov.za/documents/speeches/Speech%20LSA%20INdaba%20Final.pdf,"Keynote address by honourable Ayanda Dlodlo, MP, Minister for the public service and administration at the Lifestyle audit indaba",[]
