title,adver,pdf_link,list
National Government jobs,Download PDF of National Government jobs,https://www.gov.za//sites/default/files/Defence.pdf,['Defence']
Eastern Cape Government jobs,No advertised jobs,,[]
Free State Government jobs,No advertised jobs,,[]
Gauteng Government jobs,Download PDF of Gauteng Government jobs,https://www.gov.za//sites/default/files/Gauteng_2.pdf,['Gauteng Health']
KwaZulu-NatalÂ Government jobs,Download PDF of KwaZulu-Natal Government jobs,https://www.gov.za//sites/default/files/KwaZulu-Natal_0.pdf,['KwaZulu-Natal\xa0Health']
Mpumalanga Government jobs,No advertised jobs,,[]
Limpopo Government jobs,Download PDF of Limpopo Government jobs,https://www.gov.za//sites/default/files/Limpopo_0.pdf,"['Limpopo Economic Development, Environment and Tourism', 'Limpopo Social Development']"
North West Government jobs,No advertised jobs,,[]
Northern Cape Government jobs,Download PDF of Northern Cape Government jobs,https://www.gov.za//sites/default/files/Northern%20Cape.pdf,['Northern Cape Health']
Western Cape Government jobs,No advertised jobs,https://www.gov.za//sites/default/files/PUBLIC%20SERVICE%20VACANCY%20CIRCULAR%2044%20OF%202023.pdf,[]
